2024-03-20 00:09:04.1334|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:09:04.1624|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:04.1624|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:04.3721|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:09:27.8472|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:27.8472|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:28.0106|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:09:30.2077|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:30.2077|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:09:30.4534|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:12:52.4918|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:52.4918|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:52.7486|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:12:57.1122|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:57.1122|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:57.3070|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:12:58.2849|0|INFO|SignalR.Redis.Hubs.ChatHub|Message Sent to all users |url: http://localhost/chatHub|action: 
2024-03-20 00:12:59.7210|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:59.7210|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:12:59.9127|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:01.5222|0|INFO|SignalR.Redis.Hubs.ChatHub|Message Sent to all users |url: http://localhost/chatHub|action: 
2024-03-20 00:13:26.1325|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:26.1325|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:26.3414|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:29.1618|0|INFO|SignalR.Redis.Hubs.ChatHub|Message Sent to all users |url: http://localhost/chatHub|action: 
2024-03-20 00:13:31.2962|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:31.2962|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:31.4130|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:31.9840|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:31.9840|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:32.1477|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:32.4115|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:32.4115|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:32.6024|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:38.1369|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:38.1369|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:13:38.3340|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:13:59.6915|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
